"Population per month by region, age, sex and month"

"region";"age";"sex";"2014M12";"2015M01";"2015M02";"2015M03";"2015M04";"2015M05";"2015M06";"2015M07";"2015M08";"2015M09";"2015M10";"2015M11";"2015M12";"2016M01";"2016M02";"2016M03";"2016M04";"2016M05";"2016M06";"2016M07";"2016M08";"2016M09";"2016M10";"2016M11";"2016M12";"2017M01";"2017M02";"2017M03";"2017M04";"2017M05";"2017M06";"2017M07";"2017M08";"2017M09";"2017M10";"2017M11";"2017M12";"2018M01";"2018M02";"2018M03";"2018M04";"2018M05";"2018M06";"2018M07";"2018M08";"2018M09";"2018M10";"2018M11";"2018M12";"2019M01";"2019M02";"2019M03";"2019M04";"2019M05";"2019M06";"2019M07";"2019M08";"2019M09";"2019M10";"2019M11";"2019M12";"2020M01";"2020M02";"2020M03";"2020M04";"2020M05";"2020M06";"2020M07";"2020M08";"2020M09";"2020M10";"2020M11";"2020M12";"2021M01";"2021M02";"2021M03";"2021M04";"2021M05";"2021M06";"2021M07";"2021M08"
"00 Sweden";"0 years";"men";59584;4842;9377;14232;19423;24700;29963;35431;40607;45769;50973;55510;59994;4958;9685;14880;20052;25604;30976;36379;41707;46941;51910;56402;61005;4890;9504;14704;19807;25257;30403;35903;41250;46259;51113;55602;59899;4814;9314;14530;19857;25232;30527;35963;41275;46271;51169;55610;60032;4917;9425;14475;19667;24927;30154;35577;40948;45780;50730;55171;59476;4987;9623;14614;19707;25075;30171;35495;40607;45400;50165;54388;58485;4640;9208;14352;19319;24661;29910;35182;40419
"00 Sweden";"0 years";"women";56296;4606;8831;13495;18299;23297;28102;33204;38136;43046;47624;51795;55884;4703;9319;14370;19365;24626;29603;34764;39740;44744;49346;53722;58018;4574;9074;13880;18746;23919;28777;33904;38865;43571;48286;52571;56715;4549;8763;13641;18572;23765;28693;33807;39060;43824;48490;52733;56807;4675;8981;13754;18662;23739;28592;33762;38713;43357;47894;51994;55907;4666;8973;13636;18276;23331;28147;32999;37905;42520;47012;51070;55104;4407;8811;13721;18582;23574;28565;33636;38557
"00 Sweden";"1 year";"men";59489;59685;59787;59876;59966;60065;60139;60224;60345;60430;60497;60581;60640;60089;60207;60305;60390;60500;60600;60714;60819;60944;61068;61195;61352;61203;61379;61523;61640;61761;61882;62009;62134;62248;62360;62443;62531;60010;60126;60220;60317;60407;60502;60586;60681;60757;60843;60905;60973;60147;60241;60353;60444;60527;60617;60697;60766;60858;60924;60934;60993;59557;59624;59702;59742;59780;59810;59852;59907;59941;59989;60022;60058;58542;58599;58641;58713;58796;58858;58919;58985
"00 Sweden";"1 year";"women";56083;56396;56479;56591;56684;56782;56867;56951;57035;57125;57178;57242;57292;55975;56053;56140;56230;56318;56414;56538;56676;56821;56944;57075;57216;58193;58353;58511;58623;58734;58827;58956;59082;59195;59286;59355;59444;56819;56951;57030;57139;57240;57352;57460;57545;57616;57688;57748;57789;56905;57020;57115;57188;57279;57370;57459;57536;57628;57696;57744;57783;56002;56084;56172;56227;56248;56288;56333;56379;56418;56451;56489;56533;55171;55250;55306;55361;55417;55484;55549;55620
"00 Sweden";"2 years";"men";59807;59540;59588;59661;59741;59807;59856;59944;60011;60088;60177;60234;60292;60702;60747;60794;60883;60957;61048;61166;61282;61395;61529;61670;61817;61430;61504;61566;61623;61706;61760;61866;61963;62043;62116;62165;62258;62612;62690;62769;62836;62898;62978;63063;63141;63191;63245;63298;63361;61040;61112;61183;61268;61318;61373;61434;61487;61521;61548;61571;61598;61029;61080;61122;61141;61157;61175;61215;61242;61283;61311;61336;61348;60099;60146;60185;60240;60285;60330;60383;60421
"00 Sweden";"2 years";"women";56582;56154;56214;56270;56331;56385;56444;56517;56595;56655;56724;56778;56834;57345;57407;57468;57520;57575;57650;57757;57876;57975;58085;58195;58348;57297;57384;57461;57515;57593;57657;57758;57829;57912;58009;58066;58123;59507;59582;59667;59720;59783;59837;59891;59971;60041;60088;60133;60164;57843;57908;57994;58044;58097;58141;58213;58267;58325;58367;58394;58432;57842;57882;57934;57949;57976;57986;58017;58054;58065;58069;58069;58077;56573;56619;56663;56689;56713;56752;56799;56840
"00 Sweden";"3 years";"men";59395;59865;59925;60038;60106;60196;60270;60350;60419;60474;60552;60600;60662;60369;60420;60480;60525;60599;60673;60778;60892;60999;61105;61254;61378;61911;62003;62092;62154;62233;62323;62441;62522;62589;62676;62737;62825;62330;62420;62481;62554;62626;62687;62772;62819;62875;62927;62981;63030;63408;63469;63538;63582;63642;63698;63767;63812;63853;63897;63933;63965;61642;61657;61692;61720;61726;61732;61770;61798;61820;61822;61826;61826;61372;61391;61404;61425;61458;61482;61527;61565
"00 Sweden";"3 years";"women";56429;56635;56698;56775;56842;56894;56946;57011;57062;57116;57175;57232;57297;56897;56931;56987;57033;57102;57177;57269;57383;57461;57541;57670;57775;58426;58493;58568;58626;58692;58753;58834;58923;59040;59103;59160;59233;58192;58263;58305;58356;58424;58495;58550;58615;58676;58712;58741;58792;60227;60292;60336;60393;60438;60476;60529;60591;60654;60666;60686;60716;58482;58511;58534;58557;58574;58567;58594;58637;58644;58636;58635;58644;58081;58100;58111;58130;58136;58153;58168;58200
"00 Sweden";"4 years";"men";61909;59457;59518;59595;59669;59735;59778;59852;59933;60002;60076;60140;60196;60718;60769;60840;60912;60986;61095;61220;61334;61457;61556;61698;61840;61466;61559;61617;61686;61784;61860;61941;62011;62123;62210;62249;62332;62926;62990;63056;63114;63179;63258;63356;63438;63488;63539;63581;63640;63071;63116;63148;63197;63249;63301;63358;63405;63435;63469;63495;63535;63997;64033;64066;64082;64097;64120;64132;64151;64159;64160;64159;64163;61847;61859;61882;61897;61931;61955;61987;62028
"00 Sweden";"4 years";"women";58583;56473;56526;56578;56637;56696;56756;56828;56909;56963;57009;57072;57127;57346;57385;57440;57494;57539;57617;57714;57829;57930;58031;58157;58292;57853;57925;58010;58071;58139;58221;58312;58378;58460;58541;58612;58684;59293;59353;59415;59480;59532;59574;59650;59704;59771;59821;59863;59910;58848;58896;58942;58987;59033;59080;59138;59179;59222;59270;59278;59313;60745;60766;60790;60815;60824;60819;60819;60846;60857;60870;60864;60838;58646;58678;58674;58676;58700;58726;58763;58772
