"sex" "AgeGr" "Start" "End" "Coh" "exclude" "n" "TotalPop" "sY" "eY" "YearGr"
0 104 1 1 1914 0 5 6 2018 2019.25 18
0 104 1 1 1914 1 1 1 2018 2019.25 18
0 104 1 2 1914 0 1 6 2018 2019.25 18
0 104 2 2 1914 0 15 20 2018 2019.25 18
0 104 2 2 1914 1 12 12 2018 2019.25 18
0 104 2 3 1914 0 2 20 2018 2019.25 18
0 104 2 4 1914 0 3 20 2018 2019.25 18
0 104 3 3 1914 0 32 35 2018 2019.25 18
0 104 3 3 1914 1 15 17 2018 2019.25 18
0 104 3 4 1914 0 3 35 2018 2019.25 18
0 104 3 4 1914 1 2 17 2018 2019.25 18
0 104 4 4 1914 0 391 391 2018 2019.25 18
0 104 4 4 1914 1 197 197 2018 2019.25 18
0 104.25 1 1 1914 0 5 5 2018.25 2019.5 18
0 104.25 1 1 1914 1 1 1 2018.25 2019.5 18
0 104.25 2 2 1914 0 14 16 2018.25 2019.5 18
0 104.25 2 2 1914 1 10 12 2018.25 2019.5 18
0 104.25 2 3 1914 1 1 12 2018.25 2019.5 18
0 104.25 2 4 1914 0 2 16 2018.25 2019.5 18
0 104.25 2 4 1914 1 1 12 2018.25 2019.5 18
0 104.25 3 3 1914 0 30 34 2018.25 2019.5 18
0 104.25 3 3 1914 1 14 15 2018.25 2019.5 18
0 104.25 3 4 1914 0 4 34 2018.25 2019.5 18
0 104.25 3 4 1914 1 1 15 2018.25 2019.5 18
0 104.25 4 4 1914 0 397 397 2018.25 2019.5 18
0 104.25 4 4 1914 1 199 199 2018.25 2019.5 18
0 104.5 1 1 1914 0 5 5 2018.5 2019.75 18
0 104.5 1 1 1914 1 1 1 2018.5 2019.75 18
0 104.5 2 2 1914 0 12 14 2018.5 2019.75 18
0 104.5 2 2 1914 1 7 10 2018.5 2019.75 18
0 104.5 2 3 1914 1 1 10 2018.5 2019.75 18
0 104.5 2 4 1914 0 2 14 2018.5 2019.75 18
0 104.5 2 4 1914 1 2 10 2018.5 2019.75 18
0 104.5 3 3 1914 0 25 30 2018.5 2019.75 18
0 104.5 3 3 1914 1 15 15 2018.5 2019.75 18
0 104.5 3 4 1914 0 5 30 2018.5 2019.75 18
0 104.5 4 4 1914 0 403 403 2018.5 2019.75 18
0 104.5 4 4 1914 1 201 201 2018.5 2019.75 18
0 104.75 1 1 1914 0 5 5 2018.75 2020 18
0 104.75 1 1 1914 1 1 1 2018.75 2020 18
0 104.75 2 2 1914 0 9 12 2018.75 2020 18
0 104.75 2 2 1914 1 6 7 2018.75 2020 18
0 104.75 2 3 1914 0 1 12 2018.75 2020 18
0 104.75 2 4 1914 0 2 12 2018.75 2020 18
0 104.75 2 4 1914 1 1 7 2018.75 2020 18
0 104.75 3 3 1914 0 23 25 2018.75 2020 18
0 104.75 3 3 1914 1 14 16 2018.75 2020 18
0 104.75 3 4 1914 0 2 25 2018.75 2020 18
0 104.75 3 4 1914 1 2 16 2018.75 2020 18
0 104.75 4 4 1914 0 410 410 2018.75 2020 18
0 104.75 4 4 1914 1 203 203 2018.75 2020 18
1 104 1 1 1914 0 1 1 2018 2019.25 18
1 104 1 1 1914 1 1 1 2018 2019.25 18
1 104 2 2 1914 0 4 7 2018 2019.25 18
1 104 2 2 1914 1 2 4 2018 2019.25 18
1 104 2 3 1914 0 1 7 2018 2019.25 18
1 104 2 4 1914 0 2 7 2018 2019.25 18
1 104 2 4 1914 1 2 4 2018 2019.25 18
1 104 3 3 1914 0 8 11 2018 2019.25 18
1 104 3 3 1914 1 2 3 2018 2019.25 18
1 104 3 4 1914 0 3 11 2018 2019.25 18
1 104 3 4 1914 1 1 3 2018 2019.25 18
1 104 4 4 1914 0 89 89 2018 2019.25 18
1 104 4 4 1914 1 43 43 2018 2019.25 18
1 104.25 1 1 1914 0 1 1 2018.25 2019.5 18
1 104.25 1 1 1914 1 1 1 2018.25 2019.5 18
1 104.25 2 2 1914 0 2 4 2018.25 2019.5 18
1 104.25 2 2 1914 1 2 2 2018.25 2019.5 18
1 104.25 2 4 1914 0 2 4 2018.25 2019.5 18
1 104.25 3 3 1914 0 7 9 2018.25 2019.5 18
1 104.25 3 3 1914 1 2 2 2018.25 2019.5 18
1 104.25 3 4 1914 0 2 9 2018.25 2019.5 18
1 104.25 4 4 1914 0 94 94 2018.25 2019.5 18
1 104.25 4 4 1914 1 46 46 2018.25 2019.5 18
1 104.5 1 1 1914 0 1 1 2018.5 2019.75 18
1 104.5 1 1 1914 1 1 1 2018.5 2019.75 18
1 104.5 2 2 1914 0 2 2 2018.5 2019.75 18
1 104.5 2 2 1914 1 1 2 2018.5 2019.75 18
1 104.5 2 3 1914 1 1 2 2018.5 2019.75 18
1 104.5 3 3 1914 0 4 7 2018.5 2019.75 18
1 104.5 3 3 1914 1 2 2 2018.5 2019.75 18
1 104.5 3 4 1914 0 3 7 2018.5 2019.75 18
1 104.5 4 4 1914 0 98 98 2018.5 2019.75 18
1 104.5 4 4 1914 1 46 46 2018.5 2019.75 18
1 104.75 1 1 1914 0 1 1 2018.75 2020 18
1 104.75 1 1 1914 1 1 1 2018.75 2020 18
1 104.75 2 2 1914 0 2 2 2018.75 2020 18
1 104.75 2 3 1914 1 1 1 2018.75 2020 18
1 104.75 3 3 1914 0 4 4 2018.75 2020 18
1 104.75 3 3 1914 1 3 3 2018.75 2020 18
1 104.75 4 4 1914 0 101 101 2018.75 2020 18
1 104.75 4 4 1914 1 46 46 2018.75 2020 18
0 103 1 1 1915 0 7 8 2018 2019.25 18
0 103 1 1 1915 1 5 5 2018 2019.25 18
0 103 1 2 1915 0 1 8 2018 2019.25 18
